model,split,MAE,RMSE,R2
DummyMean,val,6.77154183491486,8.442322743254932,-1.7452330615341793e-05
DummyMean,test,6.888276225320505,8.619725921572746,-0.001981559244914166
LinearRegression,val,0.9826695952626512,1.5559839511828226,0.9660301284909523
LinearRegression,test,1.02054466770125,1.5633574730989315,0.9670398330505765
Ridge,val,1.0704485328300046,1.69352011014663,0.9597594049667654
Ridge,test,1.0831020576150405,1.6551641837918627,0.963055059205677
Lasso,val,1.1178451412037311,1.7363691628064695,0.9576973273779599
Lasso,test,1.1198139380364265,1.6970791687716107,0.9611601968498934
ElasticNet,val,1.1618284533612717,1.8114518144696072,0.9539597948854173
ElasticNet,test,1.1632059854894956,1.7536431578363776,0.9585279727668627
BayesianRidge,val,0.9928442947132796,1.580032548940057,0.9649719674323783
BayesianRidge,test,1.0242645412150106,1.5726824572126126,0.9666454642957061
HuberRegressor,val,0.9656504360857279,1.611645494937106,0.9635562788706568
HuberRegressor,test,0.9990987261421473,1.6604889015739333,0.9628169706647041
KNN,val,0.9887528799803922,1.772613344053489,0.9559128823466616
KNN,test,1.029989236489852,1.8796590283072674,0.9523535042755049
DecisionTree,val,1.1646434526243157,2.120362821153197,0.9369182055585696
DecisionTree,test,1.0717897636522034,1.880303582363211,0.952320821744131
RandomForest,val,0.9591243490992322,1.5097428687604955,0.9680191758441493
RandomForest,test,0.9295316147279328,1.459799815602541,0.9712618092049005
ExtraTrees,val,0.6038633857608279,1.1916331365114687,0.9800763538243347
ExtraTrees,test,0.5342596327731013,0.9314944773536823,0.9882987196783147
GradientBoosting,val,2.020568898916321,2.6159221273001627,0.9039862791115343
GradientBoosting,test,2.0441896270966957,2.611030402034186,0.9080616570154364
HistGradientBoosting,val,1.296843578399795,1.8995627217343731,0.9493719787309814
HistGradientBoosting,test,1.2608463136571777,1.7498063758725277,0.9587092468848551
AdaBoost,val,3.524966428505149,4.23617441653987,0.7482141360606444
AdaBoost,test,3.736139910669959,4.426237795826715,0.7357942290666173
Bagging,val,0.9577566750391816,1.504182212519503,0.9682543243254205
Bagging,test,0.9275332849816398,1.4433250207660058,0.9719068074618704
SVR_RBF,val,0.644627353666886,1.451299019996798,0.9704472784617005
SVR_RBF,test,0.6539790760930301,1.4205196808062914,0.972787569989627
LinearSVR,val,1.0909200042004739,1.8379018175689785,0.9526054622163316
LinearSVR,test,1.1175422985902104,1.8635843185618337,0.9531649584821248
MLP,val,0.7709347669757238,1.2586660150766031,0.9777717798300656
MLP,test,0.7711034758565508,1.5194762884757946,0.96886415408133
