feature,importance
num__electricity_water_interaction,0.3374806151435073
num__electricity,0.15739122202352782
num__basic_services_gap,0.118002063084654
num__water_access,0.08082258342692872
num__log1p_gdp_per_capita,0.08001180591815192
num__sanitation,0.023925569177160846
num__year,0.013736913626368337
num__pop_growth,0.009857790811775338
cat__country_name_Central African Republic,0.007964108461109318
num__co2_emissions,0.006539315876780776
cat__country_code_CAF,0.006497111439952121
cat__country_code_NRU,0.005997314401291952
cat__country_name_Nauru,0.005969893253657969
num__labor_force,0.005372269604238556
num__population,0.004912836231237733
cat__country_name_Eswatini,0.003934947214856448
cat__country_code_SWZ,0.0037645469076489015
cat__country_code_NGA,0.003256883974398851
cat__country_name_Nigeria,0.0031001510316575717
cat__country_code_ZAF,0.0030707715848052636
cat__country_code_PLW,0.003012852302835373
cat__country_name_South Africa,0.002849440961448652
cat__country_name_Greenland,0.0026632773630289605
cat__country_code_GRL,0.002483209561385261
cat__country_name_Palau,0.0023630505576239
cat__country_code_SSD,0.002191514445458314
cat__country_name_South Sudan,0.002174768387800416
num__gdp_growth,0.0021270011416282208
cat__country_name_Tuvalu,0.0019207576719009643
cat__country_code_LSO,0.0018835244360614724
cat__country_code_TUV,0.0018066022282790838
cat__country_name_Lesotho,0.0017579324563610603
cat__country_code_ZWE,0.0017064997568422787
cat__country_code_PRK,0.0016889970295349602
cat__country_code_SOM,0.0015612855638049425
"cat__country_name_Somalia, Fed. Rep.",0.0015173769447822418
cat__country_name_Zimbabwe,0.0014963464527241795
"cat__country_name_Korea, Dem. People's Rep.",0.0014466276919133068
cat__country_code_SLB,0.0013292528409998704
cat__country_name_Vanuatu,0.0013225781434007208
cat__country_name_Gibraltar,0.0012666192755334262
cat__country_code_VUT,0.001252691156322842
cat__country_code_GIB,0.0011918752815541342
cat__country_name_Solomon Islands,0.0011890221485159073
cat__country_code_LBR,0.001116754266100485
num__is_covid,0.001029564039306215
cat__country_name_Chad,0.0009989393645619593
cat__country_name_Cote d'Ivoire,0.0009166380289166005
cat__country_name_Liberia,0.0009055536250851701
cat__country_code_CIV,0.0008860125260278478
cat__country_code_TCD,0.0008229350335418947
cat__country_name_Cabo Verde,0.0007775917793146867
cat__country_name_Turkmenistan,0.0007724539680681217
cat__country_code_BRN,0.0007329991231752914
cat__country_name_Brunei Darussalam,0.0007059960900682631
cat__country_code_CPV,0.0007026235794111958
cat__country_code_CUB,0.0006953174947095485
cat__country_name_Sierra Leone,0.0006795009607807424
cat__country_code_TKM,0.0006764100340741075
cat__country_code_SLE,0.0006690910649878952
cat__country_code_RUS,0.0006581500642201611
cat__country_code_PNG,0.0006549961006186383
cat__country_name_Cuba,0.0006542657373244471
cat__country_code_KHM,0.0006368867521063999
cat__country_name_Papua New Guinea,0.0006358800980688539
